,description,fintech
326,"The Easy Pay Direct company was designed to make your life easier. From their staff to the solution itself, They’re here to help. They have the name Easy Pay Direct for a reason: small business owners need products that are easy to use. They’ve created a product and an environment that is just that. Simple. With a simple site, simple forms andsimple support, they help businesses thrive. In the era of entrepreneurialism, they all need tools they can depend on.",1
1737,"Address: 127 Tremont St, Duxbury, MA 02332, USA",0
418,"Connecting to multiple payment services, known as payment orchestration, is the new standard. Building and maintaining custom payment integrations is slow and expensive. Our PCI compliant solution lets you connect once and stay ahead of your payments strategy.",1
2487,"Qoherent is driving the creation of intelligent radio technologies. Unlike traditional radio frequency (RF) systems, intelligent radios integrate machine learning-based signal processing to build more robust, aware, and adaptive RF communications and sensing systems that generally outperform fixed-function and software-defined radio systems.  Qoherent creates data-driven solutions using machine learning techniques for passive sensing of the RF spectrum to identify and analyze signals such LTE, 5GNR, and more. Qoherent's product offering includes application-specific IP composed of datasets and models, as well as design tools that help engineers bridge the knowledge gap between the RF and ML domains. Qoherent also investigates applications of quantum machine learning as applied to real-world RF problems.",0
426,"Digit saves you time and money by automatically transferring funds into your savings account when you can afford it, so you never have to think about it again.",1
450,"We offer robust solutions to your Digital Marketing concern, that helps you illuminate your presence on the web. Whilst we are a recently established firm, our team has had years of experience in the field. Having experienced the domain fist-hand, they posses a staunch perception of what is required for a business to boast a strong digital presence. We possess expertise in the domains of SEO, Social Media Marketing, Website Development and Digital Advertising. Achieve your Digital Marketing goals through our concrete, result-oriented solutions. Ensuring quality, professional services is our motto, enabling us to furnish results.",0
1732,"Westwood is a full-service personal lines agency specializing in builder-sourced homeowners insurance. Its unique platform facilitates seamless home closings by connecting builders, carriers, lenders, and homebuyers with click-to-bind technology.",0
1477,"icolo.io designs, builds and operates state of the art carrier neutral data centers to serve a broad spectrum of clients – telecom carriers, ISPs and peering points, IT and cloud providers, content providers, enterprise and financial services customers.",0
433,Robinhood is a commission-free stock trading app that makes investing accessible to everyone.,1
1261,A family company with over 50 years experience. Fully licensed and insured. We treat your home like it is our own.​ ​100% Satisfaction Guarantee.,0
1005,"We are a full service mortgage banking company. Cherry Creek Mortgage embodies the best of the big and small lenders. By dealing with Fannie Mae, Freddie Mac, and the Wall Street conduits, our customers are offered a variety of loan products and services with the financial backing they can count on. ",1
2460,"Address: 5069 Livernois Rd, Troy, MI 48098, USA",0
509,"Eureeca is an equity crowdfunding platform with presence in Europe, the Middle East and South East Asia that allows early-stage businesses and small and medium-sized enterprises to raise capital from a group of investors, who range from casual and angel investors to institutional firms, in exchange for equity.",1
1281,"KleenWraps is a Consumer PPE brand designing, producing, and marketing a growing suite of products that meet the ever-changing PPE needs of the time. “Consumer PPE” are tools that ordinary people need and use to go about their daily life in a safe and hygienic manner with peace of mind. KleenWraps is both creating a whole new category of proprietary protection in the PPE space while also capturing a share of the growing traditional PPE market KleenWraps has a competitive advantage over the other businesses trying to enter the consumer PPE space because our technology was patented in 2018 and has been selling since March of 2020. The application of antimicrobial agents on grip barriers is protected by one utility patent and two design patents. The closest competitor is gloves. Gloves, however, promote cross-contamination by lulling users into a false sense of security as they touch their phones, face, and personal items. It was co-founded by Elizabeth Silver and her son Russell Silver-Fagan in 2017 and is operating in Philadelphia, Pennsylvania.",0
98,Acorns is a micro-investing platform that allows users to invest their spare change automatically into a diversified portfolio of ETFs.,1
456,"One Project is a social venture accelerating collaboration toward global thriving. We work with communities to create new forms of governance and economics that are equitable, ecological, and effective.",0
376,Hard Tech Hardware startup. Design Smart LED lighting for Health in the post COVID-19 pandemic.,0
231,"OMECS is an Italian company researching and producing skin care and wound care products using unique ingredients and innovative techniques. Its flagship line of skin care products, LUXOM, is made using snail slime, and saffron and first-pressing extra virgin olive oil made in Italy. Its technical product line, CLINIOM, is used to soothe irritated skin. It has been widely acclaimed for its benefits and is commonly used to treat skin after tattooing. Its wound care division makes certified medical products such as bandages, powders and sponges infused with freeze-dried snail slime. It can be used for post-surgical skin care and works using the natural and proven regenerative properties of snail slime.",0
2926,"Sentinel Net Lease is a real estate investment firm that acquires and manages freestanding commercial properties that generate rental revenue under long-term, net lease agreements. The firm is dedicated to the principles of fiduciary responsibility, capital preservation, and alignment of interests with its investors. Its philosophy marries institutional-quality, data-driven investment analysis with exceptional boots-on-the-ground operational experience and meticulous asset management to deliver strong, risk-adjusted returns.",0
2654,"Aligos Therapeutics, Inc. is a clinical stage biopharmaceutical company that was founded in 2018 with the mission to become a world leader in the treatment of viral infections and liver diseases. Aligos is focused on the development of targeted antiviral therapies for chronic hepatitis B (CHB) and coronaviruses as well as leveraging its expertise in liver diseases to create targeted therapeutics for nonalcoholic steatohepatitis (NASH). Aligos’ strategy is to harness the deep expertise and decades of drug development experience its workforce has in liver disease, particularly viral hepatitis, to rapidly advance its pipeline of potentially best-in-class molecules.",0
2627,"Welcome to Product Alliance! Come see all the tools we have to crack the product management interview and land your dream job as a product manager at any tech company!!  Break into PM from Top Product Managers: http://productalliance.com/ ABOUT US:  Want to land your dream Product Manager role? Product Alliance is a collective of Product Managers from top tech companies who have come together to gather everything you need to land your dream job as a product manager at any tech company!  Our instructors have taught our content at Columbia, Cornell, Duke, Kellogg, Grace Hopper, and more. Check out productalliance.com today to get access to hours of 10/10 interview responses, over 200 pages of core study guides for the top 22 companies, and exclusive interviews with PMs at the top dozen tech companies. Interested in product management but don’t know where to start? Our Breaking into Product Management course will help kickstart your career as a PM by helping you land any interview. See more: productalliance.com/courses/breaking-into-product-management Overwhelmed by all the different questions you may get asked during the product management interview? Our Hacking the Product Management Interview course will teach you how to answer ANY question thrown your way. See more: productalliance.com/courses/hacking-the-pm-interview Struggling to research and understand the companies you are interviewing at? Our Deep Dives for the Top 22 Product Companies course will give you the inside scoop for nearly 2 dozen top companies to help you land your dream role. See more: productalliance.com/courses/core-company-deep-dives",0
2195,Naxetra '' Highly Passionate Truly Commited'' enterprise that is dedicated to serve Small Medium Enterprises offering Business Banking Platform integrated with Accounting & Reporting. Personal Banking Business Banking Expense Cards Merchant Account eCommerce Accounting & ERP,0
2226,"JM Web Designs was founded in Omaha, Neb., by Jonathan S. Patton in 1998, a 14-year-old entrepreneur. From the beginning, Patton realized that professional web design and development would play increasingly important roles in the world of business and wanted to help people make the most of these powerful tools. Now as JM Online, we are rated as one of the best service providers in the field by Microsoft, AllBusiness.com and other industry leaders. Using a full team of trained specialists with over 100 years of combined experience, JM will develop your Internet identity and credibility from start to finish.",0
1041,"Swiss Post works in accordance with clear principles and is fully aware of its social and ecological responsibility. It provides high-quality, innovative, marketable services and makes every effort to satisfy the high expectations of its customers.",1
2278,"Climate change is real, it is happening now, and it is going to impact virtually every aspect of our lives, from where we live to what we eat to the kind of work we do. It is both an urgent issue and one that we will be dealing with for decades to come. Actnow Ventures - investing in climate action Actnow Ventures is being established to enable European investors to put their capital to work solving problems that truly matter - while building highly profitable, globally scalable companies.",0
399,Have brick and mortar locations to go apply for cash loans ,1
186,Q1 2022 Founders not found,0
690,"Moneydance is a personal finance software application developed by The Infinite Kind, formerly developed by Reilly Technologies, USA. Written in Java, it can be run on many different computers and operating systems. Under the hood, Moneydance implements a double-entry bookkeeping system, but the user interface is geared towards non-accountants.",1
2699,"Rhino is a licensed insurance agency that transacts insurance and gives renters financial alternatives to afford the homes they want. It is a smart alternative to security deposits and acts as a general agent for one or more insurance carriers. Rhino was founded in 2017 and is headquartered in New York, New York.",1
612,Lenddo is a social lending platform that uses data analytics to assess creditworthiness and provide loans to people in developing countries.,1
2000,Digital Sky is a technology company driven by pure passion and competency. Our solution allows authorities and individuals for the safe integration of drones into the airspace.,0
2151,"Address: 217 N Nokomis St., Alexandria, MN 56308, USA",0
